coverage	method	method_dir	status	precision	recall	accuracy	F1	macro_precision	macro_recall	macro_F1	micro_precision	micro_recall	micro_F1	micro_accuracy	total_assignments	metrics_json	report	assignments	provenance
20x	FMLRC	fmlrc_current	ok	0.6910974265925629	0.6991509764231804	0.6433282277682674	0.6951008748618085	0.6910974265925629	0.6991509764231804	0.6951008748618085	0.6434383757918736	0.6433282277682674	0.6433832970657007	0.6433282277682674	110990	benchmark/results/classification/30strains_legacy/20x/fmlrc_current/metrics.json	benchmark/results/classification/30strains_legacy/20x/fmlrc_current/report.tsv	benchmark/results/classification/30strains_legacy/20x/fmlrc_current/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/fmlrc_current/provenance.json
20x	F_HERO	f_hero	ok	0.6491438390161377	0.6516765585498262	0.5866293343405398	0.6504077331588848	0.6491438390161377	0.6516765585498262	0.6504077331588848	0.5867208672086721	0.5866293343405398	0.5866750972043735	0.5866293343405398	121789	benchmark/results/classification/30strains_legacy/20x/f_hero/metrics.json	benchmark/results/classification/30strains_legacy/20x/f_hero/report.tsv	benchmark/results/classification/30strains_legacy/20x/f_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/f_hero/provenance.json
20x	Ratatosk	ratatosk	ok	0.7131667236427478	0.7153875976120678	0.6651072334399842	0.7142754343083193	0.7131667236427478	0.7153875976120678	0.7142754343083193	0.6652801434334379	0.6651072334399842	0.6651936772001845	0.6651072334399842	111579	benchmark/results/classification/30strains_legacy/20x/ratatosk/metrics.json	benchmark/results/classification/30strains_legacy/20x/ratatosk/report.tsv	benchmark/results/classification/30strains_legacy/20x/ratatosk/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/ratatosk/provenance.json
20x	R_HERO	r_hero	ok	0.6732631636815611	0.6790262756919492	0.5888731160711589	0.6761324392314483	0.6732631636815611	0.6790262756919492	0.6761324392314483	0.589002092034409	0.5888731160711589	0.588937596991425	0.5888731160711589	132436	benchmark/results/classification/30strains_legacy/20x/r_hero/metrics.json	benchmark/results/classification/30strains_legacy/20x/r_hero/report.tsv	benchmark/results/classification/30strains_legacy/20x/r_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/r_hero/provenance.json
20x	LoRDEC	lordec	ok	0.6416579612193071	0.6165552773346993	0.5546893703615035	0.6288562067400414	0.6416579612193071	0.6165552773346993	0.6288562067400414	0.5551337631123789	0.5546893703615035	0.5549114777655947	0.5546893703615035	133664	benchmark/results/classification/30strains_legacy/20x/lordec/metrics.json	benchmark/results/classification/30strains_legacy/20x/lordec/report.tsv	benchmark/results/classification/30strains_legacy/20x/lordec/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/lordec/provenance.json
20x	L_HERO	l_hero	ok	0.6421540219670696	0.6276254104895956	0.5583974111569635	0.6348065992136496	0.6421540219670696	0.6276254104895956	0.6348065992136496	0.5588246217382584	0.5583974111569635	0.5586109347678394	0.5583974111569635	134732	benchmark/results/classification/30strains_legacy/20x/l_hero/metrics.json	benchmark/results/classification/30strains_legacy/20x/l_hero/report.tsv	benchmark/results/classification/30strains_legacy/20x/l_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/l_hero/provenance.json
20x	CoLoRMap	colormap	ok	0.6756996412569899	0.6739218150217624	0.6535728015614064	0.6748095571939573	0.6756996412569899	0.6739218150217624	0.6748095571939573	0.6537467955038454	0.6535728015614064	0.6536597869540143	0.6535728015614064	101447	benchmark/results/classification/30strains_legacy/20x/colormap/metrics.json	benchmark/results/classification/30strains_legacy/20x/colormap/report.tsv	benchmark/results/classification/30strains_legacy/20x/colormap/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/colormap/provenance.json
20x	Proovread	proovread	ok	0.6508011309886269	0.6262630768572832	0.5813085158267571	0.6382963616255618	0.6508011309886269	0.6262630768572832	0.6382963616255618	0.5813085158267571	0.5813085158267571	0.5813085158267571	0.5813085158267571	125073	benchmark/results/classification/30strains_legacy/20x/proovread/metrics.json	benchmark/results/classification/30strains_legacy/20x/proovread/report.tsv	benchmark/results/classification/30strains_legacy/20x/proovread/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/proovread/provenance.json
30x	DADEC	dadec_dev	ok	0.7137462757457417	0.7160122235038984	0.6398527085804666	0.7148774540351294	0.7137462757457417	0.7160122235038984	0.7148774540351294	0.6399106944249924	0.6398527085804666	0.6398817001890655	0.6398527085804666	121392	benchmark/results/classification/30strains_legacy/30x/dadec_dev/metrics.json	benchmark/results/classification/30strains_legacy/30x/dadec_dev/report.tsv	benchmark/results/classification/30strains_legacy/30x/dadec_dev/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/dadec_dev/provenance.json
30x	FMLRC	fmlrc_current	ok	0.7051038616516477	0.7095078509397391	0.6241528978959597	0.7072990010146729	0.7051038616516477	0.7095078509397391	0.7072990010146729	0.6242435489857505	0.6241528978959597	0.6241982201495849	0.6241528978959597	123952	benchmark/results/classification/30strains_legacy/30x/fmlrc_current/metrics.json	benchmark/results/classification/30strains_legacy/30x/fmlrc_current/report.tsv	benchmark/results/classification/30strains_legacy/30x/fmlrc_current/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/fmlrc_current/provenance.json
30x	F_HERO	f_hero	ok	0.6717961024079618	0.675652382945795	0.5888821715274004	0.6737187245068897	0.6717961024079618	0.675652382945795	0.6737187245068897	0.5889633002946691	0.5888821715274004	0.5889227331170025	0.5888821715274004	130673	benchmark/results/classification/30strains_legacy/30x/f_hero/metrics.json	benchmark/results/classification/30strains_legacy/30x/f_hero/report.tsv	benchmark/results/classification/30strains_legacy/30x/f_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/f_hero/provenance.json
30x	Ratatosk	ratatosk	ok	0.7173978143634965	0.7159397509232085	0.6856266834775632	0.7166680410354274	0.7173978143634965	0.7159397509232085	0.7166680410354274	0.6858297583673313	0.6856266834775632	0.6857282058875509	0.6856266834775632	104694	benchmark/results/classification/30strains_legacy/30x/ratatosk/metrics.json	benchmark/results/classification/30strains_legacy/30x/ratatosk/report.tsv	benchmark/results/classification/30strains_legacy/30x/ratatosk/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/ratatosk/provenance.json
30x	R_HERO	r_hero	ok	0.6814105935117716	0.6844242767002516	0.5947147274923829	0.6829141102947336	0.6814105935117716	0.6844242767002516	0.6829141102947336	0.5948457995774498	0.5947147274923829	0.5947802563138077	0.5947147274923829	131611	benchmark/results/classification/30strains_legacy/30x/r_hero/metrics.json	benchmark/results/classification/30strains_legacy/30x/r_hero/report.tsv	benchmark/results/classification/30strains_legacy/30x/r_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/r_hero/provenance.json
30x	LoRDEC	lordec	ok	0.693476814727667	0.6966056354403106	0.5997437184799959	0.6950377038831238	0.693476814727667	0.6966056354403106	0.6950377038831238	0.6002249887505625	0.5997437184799959	0.599984257103982	0.5997437184799959	133447	benchmark/results/classification/30strains_legacy/30x/lordec/metrics.json	benchmark/results/classification/30strains_legacy/30x/lordec/report.tsv	benchmark/results/classification/30strains_legacy/30x/lordec/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/lordec/provenance.json
30x	L_HERO	l_hero	ok	0.6706318104399556	0.6734429207492899	0.5827856909215261	0.6720344258990136	0.6706318104399556	0.6734429207492899	0.6720344258990136	0.5832366157783532	0.5827856909215261	0.583011066158972	0.5827856909215261	134516	benchmark/results/classification/30strains_legacy/30x/l_hero/metrics.json	benchmark/results/classification/30strains_legacy/30x/l_hero/report.tsv	benchmark/results/classification/30strains_legacy/30x/l_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/l_hero/provenance.json
30x	CoLoRMap	colormap	ok	0.6719518143159456	0.6698644634648281	0.6528634015819031	0.6709065153322114	0.6719518143159456	0.6698644634648281	0.6709065153322114	0.6530042055937337	0.6528634015819031	0.6529337959967848	0.6528634015819031	102029	benchmark/results/classification/30strains_legacy/30x/colormap/metrics.json	benchmark/results/classification/30strains_legacy/30x/colormap/report.tsv	benchmark/results/classification/30strains_legacy/30x/colormap/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/colormap/provenance.json
30x	Proovread	proovread	ok	0.6572224068764512	0.6355893147689893	0.5749902131611874	0.6462248635953999	0.6572224068764512	0.6355893147689893	0.6462248635953999	0.5749902131611874	0.5749902131611874	0.5749902131611874	0.5749902131611874	130277	benchmark/results/classification/30strains_legacy/30x/proovread/metrics.json	benchmark/results/classification/30strains_legacy/30x/proovread/report.tsv	benchmark/results/classification/30strains_legacy/30x/proovread/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/proovread/provenance.json
40x	DADEC	dadec_dev	ok	0.7145476131432625	0.7161802696007069	0.6541482530037288	0.7153630098296766	0.7145476131432625	0.7161802696007069	0.7153630098296766	0.6542216620771216	0.6541482530037288	0.6541849554810335	0.6541482530037288	115856	benchmark/results/classification/30strains_legacy/40x/dadec_dev/metrics.json	benchmark/results/classification/30strains_legacy/40x/dadec_dev/report.tsv	benchmark/results/classification/30strains_legacy/40x/dadec_dev/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/dadec_dev/provenance.json
40x	FMLRC	fmlrc_current	ok	0.7099584730766751	0.7135080282582553	0.6261712309486468	0.7117288250831698	0.7099584730766751	0.7135080282582553	0.7117288250831698	0.626256857414051	0.6261712309486468	0.626214041254278	0.6261712309486468	124335	benchmark/results/classification/30strains_legacy/40x/fmlrc_current/metrics.json	benchmark/results/classification/30strains_legacy/40x/fmlrc_current/report.tsv	benchmark/results/classification/30strains_legacy/40x/fmlrc_current/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/fmlrc_current/provenance.json
40x	F_HERO	f_hero	ok	0.7095069485516945	0.7128042852360148	0.640653433982611	0.7111517947946715	0.7095069485516945	0.7128042852360148	0.7111517947946715	0.6407452034479563	0.640653433982611	0.6406993154291732	0.640653433982611	118696	benchmark/results/classification/30strains_legacy/40x/f_hero/metrics.json	benchmark/results/classification/30strains_legacy/40x/f_hero/report.tsv	benchmark/results/classification/30strains_legacy/40x/f_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/f_hero/provenance.json
40x	Ratatosk	ratatosk	ok	0.7162249038134455	0.7160178784973991	0.686441819301216	0.7161213761930563	0.7162249038134455	0.7160178784973991	0.7161213761930563	0.686653194765204	0.686441819301216	0.6865474907635468	0.686441819301216	103952	benchmark/results/classification/30strains_legacy/40x/ratatosk/metrics.json	benchmark/results/classification/30strains_legacy/40x/ratatosk/report.tsv	benchmark/results/classification/30strains_legacy/40x/ratatosk/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/ratatosk/provenance.json
40x	R_HERO	r_hero	ok	0.6828775766562001	0.6826218682900069	0.5973957972387135	0.6827496985306666	0.6828775766562001	0.6826218682900069	0.6827496985306666	0.5975338308802576	0.5973957972387135	0.5974648060869298	0.5973957972387135	129867	benchmark/results/classification/30strains_legacy/40x/r_hero/metrics.json	benchmark/results/classification/30strains_legacy/40x/r_hero/report.tsv	benchmark/results/classification/30strains_legacy/40x/r_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/r_hero/provenance.json
40x	LoRDEC	lordec	ok	0.7097429237679383	0.7121107294821033	0.610559841354496	0.7109248550775668	0.7097429237679383	0.7121107294821033	0.7109248550775668	0.6110509697789807	0.610559841354496	0.6108053068417079	0.610559841354496	133127	benchmark/results/classification/30strains_legacy/40x/lordec/metrics.json	benchmark/results/classification/30strains_legacy/40x/lordec/report.tsv	benchmark/results/classification/30strains_legacy/40x/lordec/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/lordec/provenance.json
40x	L_HERO	l_hero	ok	0.6829492422958072	0.6826900860941865	0.590430871036098	0.6828196396050721	0.6829492422958072	0.6826900860941865	0.6828196396050721	0.5908877826640176	0.590430871036098	0.5906592384876862	0.590430871036098	134495	benchmark/results/classification/30strains_legacy/40x/l_hero/metrics.json	benchmark/results/classification/30strains_legacy/40x/l_hero/report.tsv	benchmark/results/classification/30strains_legacy/40x/l_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/l_hero/provenance.json
40x	CoLoRMap	colormap	ok	0.675027674432083	0.6729830900630388	0.6553018454801376	0.6740038316942002	0.675027674432083	0.6729830900630388	0.6740038316942002	0.6554492036644147	0.6553018454801376	0.655375516289073	0.6553018454801376	102304	benchmark/results/classification/30strains_legacy/40x/colormap/metrics.json	benchmark/results/classification/30strains_legacy/40x/colormap/report.tsv	benchmark/results/classification/30strains_legacy/40x/colormap/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/colormap/provenance.json
40x	Proovread	proovread	ok	0.6676398355852108	0.6492467683499462	0.5783482024823043	0.6583148532001182	0.6676398355852108	0.6492467683499462	0.6583148532001182	0.5783482024823043	0.5783482024823043	0.5783482024823043	0.5783482024823043	132377	benchmark/results/classification/30strains_legacy/40x/proovread/metrics.json	benchmark/results/classification/30strains_legacy/40x/proovread/report.tsv	benchmark/results/classification/30strains_legacy/40x/proovread/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/proovread/provenance.json
50x	DADEC	dadec_dev	ok	0.7148116572352631	0.7161169092943045	0.665037264749513	0.7154636879580099	0.7148116572352631	0.7161169092943045	0.7154636879580099	0.6650907563475821	0.665037264749513	0.6650640094729552	0.665037264749513	111902	benchmark/results/classification/30strains_legacy/50x/dadec_dev/metrics.json	benchmark/results/classification/30strains_legacy/50x/dadec_dev/report.tsv	benchmark/results/classification/30strains_legacy/50x/dadec_dev/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/dadec_dev/provenance.json
50x	FMLRC	fmlrc_current	ok	0.710732390112198	0.7141701869133498	0.627325633016119	0.712447141405794	0.710732390112198	0.7141701869133498	0.712447141405794	0.6274117248171529	0.627325633016119	0.6273686759631102	0.627325633016119	123891	benchmark/results/classification/30strains_legacy/50x/fmlrc_current/metrics.json	benchmark/results/classification/30strains_legacy/50x/fmlrc_current/report.tsv	benchmark/results/classification/30strains_legacy/50x/fmlrc_current/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/fmlrc_current/provenance.json
50x	F_HERO	f_hero	ok	0.6885351464347369	0.6889304775336317	0.6000520526343991	0.6887327552543919	0.6885351464347369	0.6889304775336317	0.6887327552543919	0.6001347430312588	0.6000520526343991	0.6000933949842301	0.6000520526343991	130637	benchmark/results/classification/30strains_legacy/50x/f_hero/metrics.json	benchmark/results/classification/30strains_legacy/50x/f_hero/report.tsv	benchmark/results/classification/30strains_legacy/50x/f_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/f_hero/provenance.json
50x	Ratatosk	ratatosk	ok	0.7135249888162567	0.7146590567264012	0.6820768204803439	0.7140915725107239	0.7135249888162567	0.7146590567264012	0.7140915725107239	0.6822797688748968	0.6820768204803439	0.6821782795833073	0.6820768204803439	104217	benchmark/results/classification/30strains_legacy/50x/ratatosk/metrics.json	benchmark/results/classification/30strains_legacy/50x/ratatosk/report.tsv	benchmark/results/classification/30strains_legacy/50x/ratatosk/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/ratatosk/provenance.json
50x	R_HERO	r_hero	ok	0.6878037448820254	0.6875366099030985	0.6056306059515051	0.687670151449494	0.6878037448820254	0.6875366099030985	0.687670151449494	0.6057681016463515	0.6056306059515051	0.6056993459959373	0.6056306059515051	127766	benchmark/results/classification/30strains_legacy/50x/r_hero/metrics.json	benchmark/results/classification/30strains_legacy/50x/r_hero/report.tsv	benchmark/results/classification/30strains_legacy/50x/r_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/r_hero/provenance.json
50x	LoRDEC	lordec	ok	0.7122663940892581	0.7141386017240371	0.6116871870175835	0.7132012692368666	0.7122663940892581	0.7141386017240371	0.7132012692368666	0.6121712261662522	0.6116871870175835	0.611929110872554	0.6116871870175835	132795	benchmark/results/classification/30strains_legacy/50x/lordec/metrics.json	benchmark/results/classification/30strains_legacy/50x/lordec/report.tsv	benchmark/results/classification/30strains_legacy/50x/lordec/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/lordec/provenance.json
50x	L_HERO	l_hero	ok	0.6871430479347296	0.684460970099434	0.5925531360118006	0.6857993867072095	0.6871430479347296	0.684460970099434	0.6857993867072095	0.5930125925428884	0.5925531360118006	0.5927827752479896	0.5925531360118006	134231	benchmark/results/classification/30strains_legacy/50x/l_hero/metrics.json	benchmark/results/classification/30strains_legacy/50x/l_hero/report.tsv	benchmark/results/classification/30strains_legacy/50x/l_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/l_hero/provenance.json
50x	CoLoRMap	colormap	ok	0.6784751761863005	0.676240894150098	0.6583756841282252	0.6773561927097216	0.6784751761863005	0.676240894150098	0.6773561927097216	0.6585494608624246	0.6583756841282252	0.6584625610298466	0.6583756841282252	102320	benchmark/results/classification/30strains_legacy/50x/colormap/metrics.json	benchmark/results/classification/30strains_legacy/50x/colormap/report.tsv	benchmark/results/classification/30strains_legacy/50x/colormap/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/colormap/provenance.json
50x	Proovread	proovread	ok	0.6727668756391686	0.6578663932737628	0.5806408155017176	0.6652332063700391	0.6727668756391686	0.6578663932737628	0.6652332063700391	0.5806408155017176	0.5806408155017176	0.5806408155017176	0.5806408155017176	133611	benchmark/results/classification/30strains_legacy/50x/proovread/metrics.json	benchmark/results/classification/30strains_legacy/50x/proovread/report.tsv	benchmark/results/classification/30strains_legacy/50x/proovread/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/proovread/provenance.json
