Strain ID	SpeciesNames	mANI
GCF_003214155.2	Helicobacter cinaedi	99.488045
GCF_000349975.1	Helicobacter cinaedi CCUG 18818 = ATCC BAA-847	99.488045
GCF_000740135.1	Brucella abortus	99.850677
GCF_000740155.1	Brucella abortus	99.850677
GCF_002022145.1	Elizabethkingia meningoseptica	98.460007
GCF_011612125.1	Elizabethkingia meningoseptica	98.460007
GCF_009834475.1	Empedobacter brevis	NA
GCF_002208925.2	Chryseobacterium indologenes	98.937141
GCF_016694815.1	Chryseobacterium indologenes	98.937141
GCF_003815915.1	Chryseobacterium indoltheticum	96.504639
GCF_003815895.1	Chryseobacterium indoltheticum	96.755051
GCF_016657085.1	Chryseobacterium indoltheticum	96.755051
GCF_016726985.1	Myroides odoratus	95.63253
GCF_016727005.1	Myroides odoratus	95.63253
GCF_000833355.1	Francisella tularensis subsp. novicida D9876	NA
GCF_022846355.1	Thermus thermophilus	NA
GCF_014076415.1	Comamonas testosteroni	99.134361
GCF_029026905.1	Comamonas testosteroni	99.134361
GCF_029961525.1	Pseudomonas aeruginosa	98.960228
GCF_002192495.1	Pseudomonas aeruginosa	98.960228
GCF_009586235.1	Burkholderia cepacia	97.909653
GCF_023374475.1	Burkholderia cepacia	97.909653
GCF_001747385.1	Pseudomonas fluorescens	99.031067
GCF_016728065.1	Pseudomonas fluorescens	99.031067
GCF_002128325.1	Pseudomonas fragi	82.293297
GCF_017798225.1	Pseudomonas mendocina	89.078781
GCF_029814875.1	Pseudomonas oleovorans	97.291916
GCF_000297075.2	Pseudomonas oleovorans CECT 5344	97.291916
GCF_000281215.1	Pseudomonas putida DOT-T1E	80.669418
GCF_015698365.1	Ralstonia solanacearum	79.514549
GCF_024972815.1	Stutzerimonas stutzeri	97.644608
GCF_003008495.1	Stutzerimonas stutzeri	97.644608
GCF_000452605.2	Pseudomonas syringae CC440	80.696053
GCF_024760625.1	Burkholderia glumae	99.388077
GCF_013122645.1	Burkholderia glumae	99.388077
GCF_000012105.1	Xanthomonas campestris pv. campestris str. 8004	99.826141
GCF_023206795.1	Xanthomonas campestris pv. campestris	99.826141
GCF_023221635.1	Xanthomonas translucens pv. undulosa	99.358337
GCF_017301695.1	Xanthomonas translucens pv. translucens	97.656502
GCF_003050685.1	Xanthomonas translucens pv. undulosa	99.358337
GCF_002019265.2	Xanthomonas citri pv. durantae	98.443062
GCF_002288585.1	Xanthomonas citri pv. malvacearum	98.443062
GCF_001042735.1	Xanthomonas oryzae pv. oryzicola	89.885605
GCF_002220155.1	Azotobacter chroococcum	98.542557
GCF_016406165.1	Azotobacter chroococcum	98.542557
GCF_000817975.1	Azotobacter chroococcum NCIMB 8003	97.668182
GCF_030506185.1	Azotobacter vinelandii	99.353539
GCF_000380335.1	Azotobacter vinelandii CA	99.353539
