genome_ID	strain_taxid	species_taxid	organism_name	id
GCF_009720545.1_ASM972054v1	122.2	122	Gimesia maris	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_009720545.1_ASM972054v1_genomic.fna
GCF_003367295.1_ASM336729v1	139.2	139	Borreliella burgdorferi	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_003367295.1_ASM336729v1_genomic.fna
GCF_023035675.1_ASM2303567v1	314723.0	140	Borrelia hermsii DAH	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_023035675.1_ASM2303567v1_genomic.fna
GCF_023035795.1_ASM2303579v1	1293576.0	140	Borrelia hermsii YOR	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_023035795.1_ASM2303579v1_genomic.fna
GCF_000512145.1_ASM51214v2	1435045.0	141	Borrelia parkeri HR1	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000512145.1_ASM51214v2_genomic.fna
GCF_023035415.1_ASM2303541v1	142.0	142	Borrelia turicatae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_023035415.1_ASM2303541v1_genomic.fna
GCF_023035855.1_ASM2303585v1	314724.0	142	Borrelia turicatae 91E135	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_023035855.1_ASM2303585v1_genomic.fna
GCF_025905525.1_ASM2590552v1	158.9	158	Treponema denticola	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_025905525.1_ASM2590552v1_genomic.fna
GCF_024181545.1_ASM2418154v1	158.2	158	Treponema denticola	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_024181545.1_ASM2418154v1_genomic.fna
GCF_024181485.1_ASM2418148v1	158.6	158	Treponema denticola	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_024181485.1_ASM2418148v1_genomic.fna
GCF_002850235.1_ASM285023v1	159.1	159	Brachyspira hyodysenteriae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002850235.1_ASM285023v1_genomic.fna
GCF_017751225.1_ASM1775122v1	159.2	159	Brachyspira hyodysenteriae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_017751225.1_ASM1775122v1_genomic.fna
GCF_000022105.1_ASM2210v1	565034.0	159	Brachyspira hyodysenteriae WA1	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000022105.1_ASM2210v1_genomic.fna
GCF_029866705.1_ASM2986670v1	168.0	160	Treponema pallidum subsp. pertenue	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_029866705.1_ASM2986670v1_genomic.fna
GCF_008152825.1_ASM815282v1	162.1	162	Treponema phagedenis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_008152825.1_ASM815282v1_genomic.fna
GCF_008153055.1_ASM815305v1	162.2	162	Treponema phagedenis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_008153055.1_ASM815305v1_genomic.fna
GCF_017161245.1_ASM1716124v1	162.6	162	Treponema phagedenis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_017161245.1_ASM1716124v1_genomic.fna
GCF_001293065.1_ASM129306v1	1279460.0	173	Leptospira interrogans serovar Hardjo str. Norma	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_001293065.1_ASM129306v1_genomic.fna
GCF_005222585.1_ASM522258v1	173.2	173	Leptospira interrogans	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_005222585.1_ASM522258v1_genomic.fna
GCF_024704545.1_ASM2470454v1	174.1	174	Leptospira borgpetersenii	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_024704545.1_ASM2470454v1_genomic.fna
GCF_005222205.1_ASM522220v1	192.1	192	Azospirillum brasilense	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_005222205.1_ASM522220v1_genomic.fna
GCF_024752555.1_ASM2475255v1	195.9	195	Campylobacter coli	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_024752555.1_ASM2475255v1_genomic.fna
GCF_000759485.1_ASM75948v1	1240980.0	196	Campylobacter fetus subsp. fetus 04/554	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000759485.1_ASM75948v1_genomic.fna
GCF_912579705.1_CJ121364	197.9	197	Campylobacter jejuni	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_912579705.1_CJ121364_genomic.fna
GCF_005844045.1_ASM584404v1	91352.1	198	Campylobacter hyointestinalis subsp. hyointestinalis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_005844045.1_ASM584404v1_genomic.fna
GCF_001643955.1_ASM164395v1	1031746.0	198	Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_001643955.1_ASM164395v1_genomic.fna
GCF_902385735.1_UHGG_MGYG-HGUT-02307	198.0	198	Campylobacter hyointestinalis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_902385735.1_UHGG_MGYG-HGUT-02307_genomic.fna
GCF_015680025.1_ASM1568002v1	199.2	199	Campylobacter concisus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_015680025.1_ASM1568002v1_genomic.fna
GCF_000017725.2_ASM1772v2	360104.0	199	Campylobacter concisus 13826	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000017725.2_ASM1772v2_genomic.fna
GCF_003048375.1_ASM304837v1	199.1	199	Campylobacter concisus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_003048375.1_ASM304837v1_genomic.fna
GCF_000017465.2_ASM1746v2	360105.0	200	Campylobacter curvus 525.92	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000017465.2_ASM1746v2_genomic.fna
GCF_001017575.1_ASM101757v1	201.1	201	Campylobacter lari	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_001017575.1_ASM101757v1_genomic.fna
GCF_900638335.1_57141_E01	201.2	201	Campylobacter lari	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_900638335.1_57141_E01_genomic.fna
GCF_000816405.1_ASM81640v1	1453989.0	201	Campylobacter lari RM16701	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000816405.1_ASM81640v1_genomic.fna
GCF_004803775.1_ASM480377v1	1032067.0	202	Campylobacter mucosalis CCUG 21559	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_004803775.1_ASM480377v1_genomic.fna
GCF_002220775.1_ASM222077v1	206.0	206	Campylobacter sputorum	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002220775.1_ASM222077v1_genomic.fna
GCF_002220735.1_ASM222073v1	1031920.0	206	Campylobacter sputorum bv. faecalis CCUG 20703	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002220735.1_ASM222073v1_genomic.fna
GCF_002220755.1_ASM222075v1	1032066.0	206	Campylobacter sputorum bv. paraureolyticus LMG 11764	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002220755.1_ASM222075v1_genomic.fna
GCF_000498335.1_ASM49833v1	1407463.0	210	Helicobacter pylori BM012S	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000498335.1_ASM49833v1_genomic.fna
GCF_006337405.1_ASM633740v1	210.2	210	Helicobacter pylori	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_006337405.1_ASM633740v1_genomic.fna
GCF_020735805.1_ASM2073580v1	210.6	210	Helicobacter pylori	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_020735805.1_ASM2073580v1_genomic.fna
GCF_003213825.2_ASM321382v2	213.1	213	Helicobacter cinaedi	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_003213825.2_ASM321382v2_genomic.fna
GCF_003214155.2_ASM321415v2	213.2	213	Helicobacter cinaedi	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_003214155.2_ASM321415v2_genomic.fna
GCF_000349975.1_ASM34997v1	537971.0	213	Helicobacter cinaedi CCUG 18818 = ATCC BAA-847	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000349975.1_ASM34997v1_genomic.fna
GCF_000740135.1_ASM74013v1	235.1	235	Brucella abortus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000740135.1_ASM74013v1_genomic.fna
GCF_000740155.1_ASM74015v1	235.2	235	Brucella abortus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000740155.1_ASM74015v1_genomic.fna
GCF_002022145.1_ASM202214v1	238.1	238	Elizabethkingia meningoseptica	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002022145.1_ASM202214v1_genomic.fna
GCF_011612125.1_ASM1161212v1	238.2	238	Elizabethkingia meningoseptica	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_011612125.1_ASM1161212v1_genomic.fna
GCF_009834475.1_ASM983447v1	247.2	247	Empedobacter brevis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_009834475.1_ASM983447v1_genomic.fna
GCF_002208925.2_ASM220892v2	253.2	253	Chryseobacterium indologenes	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002208925.2_ASM220892v2_genomic.fna
GCF_016694815.1_ASM1669481v1	253.5	253	Chryseobacterium indologenes	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_016694815.1_ASM1669481v1_genomic.fna
GCF_003815915.1_ASM381591v1	254.1	254	Chryseobacterium indoltheticum	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_003815915.1_ASM381591v1_genomic.fna
GCF_003815895.1_ASM381589v1	254.2	254	Chryseobacterium indoltheticum	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_003815895.1_ASM381589v1_genomic.fna
GCF_016657085.1_ASM1665708v1	254.3	254	Chryseobacterium indoltheticum	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_016657085.1_ASM1665708v1_genomic.fna
GCF_016726985.1_ASM1672698v1	256.1	256	Myroides odoratus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_016726985.1_ASM1672698v1_genomic.fna
GCF_016727005.1_ASM1672700v1	256.2	256	Myroides odoratus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_016727005.1_ASM1672700v1_genomic.fna
GCF_000833355.1_ASM83335v1	1450527.0	263	Francisella tularensis subsp. novicida D9876	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000833355.1_ASM83335v1_genomic.fna
GCF_022846355.1_ASM2284635v1	274.9	274	Thermus thermophilus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_022846355.1_ASM2284635v1_genomic.fna
GCF_014076415.1_ASM1407641v1	285.1	285	Comamonas testosteroni	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_014076415.1_ASM1407641v1_genomic.fna
GCF_029026905.1_ASM2902690v1	285.2	285	Comamonas testosteroni	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_029026905.1_ASM2902690v1_genomic.fna
GCF_029961525.1_ASM2996152v1	287.9	287	Pseudomonas aeruginosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_029961525.1_ASM2996152v1_genomic.fna
GCF_002192495.1_ASM219249v1	287.2	287	Pseudomonas aeruginosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002192495.1_ASM219249v1_genomic.fna
GCF_009586235.1_ASM958623v1	292.2	292	Burkholderia cepacia	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_009586235.1_ASM958623v1_genomic.fna
GCF_023374475.1_ASM2337447v1	292.6	292	Burkholderia cepacia	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_023374475.1_ASM2337447v1_genomic.fna
GCF_001747385.1_ASM174738v1	294.1	294	Pseudomonas fluorescens	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_001747385.1_ASM174738v1_genomic.fna
GCF_016728065.1_ASM1672806v1	294.2	294	Pseudomonas fluorescens	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_016728065.1_ASM1672806v1_genomic.fna
GCF_002128325.1_ASM212832v1	296.1	296	Pseudomonas fragi	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002128325.1_ASM212832v1_genomic.fna
GCF_017798225.1_ASM1779822v1	300.2	300	Pseudomonas mendocina	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_017798225.1_ASM1779822v1_genomic.fna
GCF_029814875.1_ASM2981487v1	301.0	301	Pseudomonas oleovorans	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_029814875.1_ASM2981487v1_genomic.fna
GCF_000297075.2_Ppseudo_final	1182590.0	301	Pseudomonas oleovorans CECT 5344	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000297075.2_Ppseudo_final_genomic.fna
GCF_000281215.1_ASM28121v1	1196325.0	303	Pseudomonas putida DOT-T1E	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000281215.1_ASM28121v1_genomic.fna
GCF_015698365.1_ASM1569836v1	305.9	305	Ralstonia solanacearum	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_015698365.1_ASM1569836v1_genomic.fna
GCF_024972815.1_ASM2497281v1	316.9	316	Stutzerimonas stutzeri	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_024972815.1_ASM2497281v1_genomic.fna
GCF_003008495.1_ASM300849v1	316.2	316	Stutzerimonas stutzeri	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_003008495.1_ASM300849v1_genomic.fna
GCF_000452605.2_ASM45260v3	1357284.0	317	Pseudomonas syringae CC440	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000452605.2_ASM45260v3_genomic.fna
GCF_024760625.1_ASM2476062v1	337.9	337	Burkholderia glumae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_024760625.1_ASM2476062v1_genomic.fna
GCF_013122645.1_ASM1312264v1	337.2	337	Burkholderia glumae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_013122645.1_ASM1312264v1_genomic.fna
GCF_000012105.1_ASM1210v1	314565.0	339	Xanthomonas campestris pv. campestris str. 8004	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000012105.1_ASM1210v1_genomic.fna
GCF_023206795.1_ASM2320679v1	340.1	339	Xanthomonas campestris pv. campestris	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_023206795.1_ASM2320679v1_genomic.fna
GCF_023221635.1_ASM2322163v1	487909.5	343	Xanthomonas translucens pv. undulosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_023221635.1_ASM2322163v1_genomic.fna
GCF_017301695.1_ASM1730169v1	134875.2	343	Xanthomonas translucens pv. translucens	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_017301695.1_ASM1730169v1_genomic.fna
GCF_003050685.1_ASM305068v1	487909.2	343	Xanthomonas translucens pv. undulosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_003050685.1_ASM305068v1_genomic.fna
GCF_002019265.2_ASM201926v2	487862.0	346	Xanthomonas citri pv. durantae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002019265.2_ASM201926v2_genomic.fna
GCF_002288585.1_ASM228858v1	86040.1	346	Xanthomonas citri pv. malvacearum	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002288585.1_ASM228858v1_genomic.fna
GCF_001042735.1_ASM104273v1	129394.0	347	Xanthomonas oryzae pv. oryzicola	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_001042735.1_ASM104273v1_genomic.fna
GCF_002220155.1_ASM222015v1	353.1	353	Azotobacter chroococcum	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002220155.1_ASM222015v1_genomic.fna
GCF_016406165.1_ASM1640616v1	353.2	353	Azotobacter chroococcum	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_016406165.1_ASM1640616v1_genomic.fna
GCF_000817975.1_ASM81797v1	1328314.0	353	Azotobacter chroococcum NCIMB 8003	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000817975.1_ASM81797v1_genomic.fna
GCF_030506185.1_ASM3050618v1	354.0	354	Azotobacter vinelandii	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_030506185.1_ASM3050618v1_genomic.fna
GCF_000380335.1_ASM38033v1	1283330.0	354	Azotobacter vinelandii CA	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000380335.1_ASM38033v1_genomic.fna
