dataset_label	short_coverage	method	run_id	software_revision	selection_reason	run_config	provenance	report	resource_log	report_status	resource_status
30s_ba	20x	FMLRC	30strains_20x_fmlrc_original_k21_k31	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/20x_fmlrc.yaml	benchmark/runs/30strains_20x/30strains_20x_fmlrc_original_k21_k31/benchmark/provenance.json	benchmark/runs/30strains_20x/30strains_20x_fmlrc_original_k21_k31/output/short_20x/fmlrc/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_20x/30strains_20x_fmlrc_original_k21_k31/benchmark/short_20x/fmlrc/resources.time.txt	present	present
30s_ba	20x	F_HERO	30strains_20x_f_hero_original_k21_k31_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/20x_f_hero.yaml	benchmark/runs/30strains_20x/30strains_20x_f_hero_original_k21_k31_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_20x/30strains_20x_f_hero_original_k21_k31_hs10_hi1/output/short_20x/f_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_20x/30strains_20x_f_hero_original_k21_k31_hs10_hi1/benchmark/short_20x/f_hero/resources.time.txt	present	present
30s_ba	20x	Ratatosk	30strains_20x_ratatosk_original_k21_k31	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/20x_ratatosk.yaml	benchmark/runs/30strains_20x/30strains_20x_ratatosk_original_k21_k31/benchmark/provenance.json	benchmark/runs/30strains_20x/30strains_20x_ratatosk_original_k21_k31/output/short_20x/ratatosk/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_20x/30strains_20x_ratatosk_original_k21_k31/benchmark/short_20x/ratatosk/resources.time.txt	present	present
30s_ba	20x	R_HERO	30strains_20x_r_hero_original_k21_k31_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/20x_r_hero.yaml	benchmark/runs/30strains_20x/30strains_20x_r_hero_original_k21_k31_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_20x/30strains_20x_r_hero_original_k21_k31_hs10_hi1/output/short_20x/r_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_20x/30strains_20x_r_hero_original_k21_k31_hs10_hi1/benchmark/short_20x/r_hero/resources.time.txt	present	present
30s_ba	20x	LoRDEC	30strains_20x_lordec_original_k31_ls5	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/20x_lordec.yaml	benchmark/runs/30strains_20x/30strains_20x_lordec_original_k31_ls5/benchmark/provenance.json	benchmark/runs/30strains_20x/30strains_20x_lordec_original_k31_ls5/output/short_20x/lordec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_20x/30strains_20x_lordec_original_k31_ls5/benchmark/short_20x/lordec/resources.time.txt	present	present
30s_ba	20x	L_HERO	30strains_20x_l_hero_original_k31_ls5_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/20x_l_hero.yaml	benchmark/runs/30strains_20x/30strains_20x_l_hero_original_k31_ls5_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_20x/30strains_20x_l_hero_original_k31_ls5_hs10_hi1/output/short_20x/l_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_20x/30strains_20x_l_hero_original_k31_ls5_hs10_hi1/benchmark/short_20x/l_hero/resources.time.txt	present	present
30s_ba	20x	CoLoRMap	30strains_20x_colormap_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/20x_colormap.yaml	benchmark/runs/30strains_20x/30strains_20x_colormap_original/benchmark/provenance.json	benchmark/runs/30strains_20x/30strains_20x_colormap_original/output/short_20x/colormap/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_20x/30strains_20x_colormap_original/benchmark/short_20x/colormap/resources.time.txt	present	present
30s_ba	20x	Proovread	30strains_20x_proovread_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/20x_proovread.yaml	benchmark/runs/30strains_20x/30strains_20x_proovread_original/benchmark/provenance.json	benchmark/runs/30strains_20x/30strains_20x_proovread_original/output/short_20x/proovread/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_20x/30strains_20x_proovread_original/benchmark/short_20x/proovread/resources.time.txt	present	present
30s_ba	30x	DADEC	30strains_30x_dadec_dev_fix_a_k31_k31_s1_a2_a1	dev_fix_a	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/30strains/30x_dadec.yaml	benchmark/runs/30strains_30x/30strains_30x_dadec_dev_fix_a_k31_k31_s1_a2_a1/benchmark/provenance.json	benchmark/runs/30strains_30x/30strains_30x_dadec_dev_fix_a_k31_k31_s1_a2_a1/output/short_30x/dadec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_30x/30strains_30x_dadec_dev_fix_a_k31_k31_s1_a2_a1/benchmark/short_30x/dadec/resources.time.txt	present	present
30s_ba	30x	FMLRC	30strains_30x_fmlrc_original_k21_k59	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/30x_fmlrc.yaml	benchmark/runs/30strains_30x/30strains_30x_fmlrc_original_k21_k59/benchmark/provenance.json	benchmark/runs/30strains_30x/30strains_30x_fmlrc_original_k21_k59/output/short_30x/fmlrc/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_30x/30strains_30x_fmlrc_original_k21_k59/benchmark/short_30x/fmlrc/resources.time.txt	present	present
30s_ba	30x	F_HERO	30strains_30x_f_hero_original_k21_k59_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/30x_f_hero.yaml	benchmark/runs/30strains_30x/30strains_30x_f_hero_original_k21_k59_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_30x/30strains_30x_f_hero_original_k21_k59_hs10_hi1/output/short_30x/f_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_30x/30strains_30x_f_hero_original_k21_k59_hs10_hi1/benchmark/short_30x/f_hero/resources.time.txt	present	present
30s_ba	30x	Ratatosk	30strains_30x_ratatosk_original_k21_k31	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/30x_ratatosk.yaml	benchmark/runs/30strains_30x/30strains_30x_ratatosk_original_k21_k31/benchmark/provenance.json	benchmark/runs/30strains_30x/30strains_30x_ratatosk_original_k21_k31/output/short_30x/ratatosk/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_30x/30strains_30x_ratatosk_original_k21_k31/benchmark/short_30x/ratatosk/resources.time.txt	present	present
30s_ba	30x	R_HERO	30strains_30x_r_hero_original_k21_k31_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/30x_r_hero.yaml	benchmark/runs/30strains_30x/30strains_30x_r_hero_original_k21_k31_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_30x/30strains_30x_r_hero_original_k21_k31_hs10_hi1/output/short_30x/r_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_30x/30strains_30x_r_hero_original_k21_k31_hs10_hi1/benchmark/short_30x/r_hero/resources.time.txt	present	present
30s_ba	30x	LoRDEC	30strains_30x_lordec_original_k31_ls5	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/30x_lordec.yaml	benchmark/runs/30strains_30x/30strains_30x_lordec_original_k31_ls5/benchmark/provenance.json	benchmark/runs/30strains_30x/30strains_30x_lordec_original_k31_ls5/output/short_30x/lordec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_30x/30strains_30x_lordec_original_k31_ls5/benchmark/short_30x/lordec/resources.time.txt	present	present
30s_ba	30x	L_HERO	30strains_30x_l_hero_original_k31_ls5_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/30x_l_hero.yaml	benchmark/runs/30strains_30x/30strains_30x_l_hero_original_k31_ls5_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_30x/30strains_30x_l_hero_original_k31_ls5_hs10_hi1/output/short_30x/l_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_30x/30strains_30x_l_hero_original_k31_ls5_hs10_hi1/benchmark/short_30x/l_hero/resources.time.txt	present	present
30s_ba	30x	CoLoRMap	30strains_30x_colormap_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/30x_colormap.yaml	benchmark/runs/30strains_30x/30strains_30x_colormap_original/benchmark/provenance.json	benchmark/runs/30strains_30x/30strains_30x_colormap_original/output/short_30x/colormap/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_30x/30strains_30x_colormap_original/benchmark/short_30x/colormap/resources.time.txt	present	present
30s_ba	30x	Proovread	30strains_30x_proovread_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/30x_proovread.yaml	benchmark/runs/30strains_30x/30strains_30x_proovread_original/benchmark/provenance.json	benchmark/runs/30strains_30x/30strains_30x_proovread_original/output/short_30x/proovread/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_30x/30strains_30x_proovread_original/benchmark/short_30x/proovread/resources.time.txt	present	present
30s_ba	40x	DADEC	30strains_40x_dadec_dev_fix_a_k31_k31_s1_a2_a1	dev_fix_a	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/30strains/40x_dadec.yaml	benchmark/runs/30strains_40x/30strains_40x_dadec_dev_fix_a_k31_k31_s1_a2_a1/benchmark/provenance.json	benchmark/runs/30strains_40x/30strains_40x_dadec_dev_fix_a_k31_k31_s1_a2_a1/output/short_40x/dadec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_40x/30strains_40x_dadec_dev_fix_a_k31_k31_s1_a2_a1/benchmark/short_40x/dadec/resources.time.txt	present	present
30s_ba	40x	FMLRC	30strains_40x_fmlrc_original_k21_k59	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/40x_fmlrc.yaml	benchmark/runs/30strains_40x/30strains_40x_fmlrc_original_k21_k59/benchmark/provenance.json	benchmark/runs/30strains_40x/30strains_40x_fmlrc_original_k21_k59/output/short_40x/fmlrc/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_40x/30strains_40x_fmlrc_original_k21_k59/benchmark/short_40x/fmlrc/resources.time.txt	present	present
30s_ba	40x	F_HERO	30strains_40x_f_hero_original_k21_k59_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/40x_f_hero.yaml	benchmark/runs/30strains_40x/30strains_40x_f_hero_original_k21_k59_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_40x/30strains_40x_f_hero_original_k21_k59_hs10_hi1/output/short_40x/f_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_40x/30strains_40x_f_hero_original_k21_k59_hs10_hi1/benchmark/short_40x/f_hero/resources.time.txt	present	present
30s_ba	40x	Ratatosk	30strains_40x_ratatosk_original_k21_k31	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/40x_ratatosk.yaml	benchmark/runs/30strains_40x/30strains_40x_ratatosk_original_k21_k31/benchmark/provenance.json	benchmark/runs/30strains_40x/30strains_40x_ratatosk_original_k21_k31/output/short_40x/ratatosk/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_40x/30strains_40x_ratatosk_original_k21_k31/benchmark/short_40x/ratatosk/resources.time.txt	present	present
30s_ba	40x	R_HERO	30strains_40x_r_hero_original_k21_k31_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/40x_r_hero.yaml	benchmark/runs/30strains_40x/30strains_40x_r_hero_original_k21_k31_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_40x/30strains_40x_r_hero_original_k21_k31_hs10_hi1/output/short_40x/r_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_40x/30strains_40x_r_hero_original_k21_k31_hs10_hi1/benchmark/short_40x/r_hero/resources.time.txt	present	present
30s_ba	40x	LoRDEC	30strains_40x_lordec_original_k31_ls5	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/40x_lordec.yaml	benchmark/runs/30strains_40x/30strains_40x_lordec_original_k31_ls5/benchmark/provenance.json	benchmark/runs/30strains_40x/30strains_40x_lordec_original_k31_ls5/output/short_40x/lordec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_40x/30strains_40x_lordec_original_k31_ls5/benchmark/short_40x/lordec/resources.time.txt	present	present
30s_ba	40x	L_HERO	30strains_40x_l_hero_original_k31_ls5_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/40x_l_hero.yaml	benchmark/runs/30strains_40x/30strains_40x_l_hero_original_k31_ls5_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_40x/30strains_40x_l_hero_original_k31_ls5_hs10_hi1/output/short_40x/l_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_40x/30strains_40x_l_hero_original_k31_ls5_hs10_hi1/benchmark/short_40x/l_hero/resources.time.txt	present	present
30s_ba	40x	CoLoRMap	30strains_40x_colormap_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/40x_colormap.yaml	benchmark/runs/30strains_40x/30strains_40x_colormap_original/benchmark/provenance.json	benchmark/runs/30strains_40x/30strains_40x_colormap_original/output/short_40x/colormap/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_40x/30strains_40x_colormap_original/benchmark/short_40x/colormap/resources.time.txt	present	present
30s_ba	40x	Proovread	30strains_40x_proovread_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/40x_proovread.yaml	benchmark/runs/30strains_40x/30strains_40x_proovread_original/benchmark/provenance.json	benchmark/runs/30strains_40x/30strains_40x_proovread_original/output/short_40x/proovread/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_40x/30strains_40x_proovread_original/benchmark/short_40x/proovread/resources.time.txt	present	present
30s_ba	50x	DADEC	30strains_50x_dadec_dev_fix_a_k31_k31_s1_a2_a1	dev_fix_a	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/30strains/50x_dadec.yaml	benchmark/runs/30strains_50x/30strains_50x_dadec_dev_fix_a_k31_k31_s1_a2_a1/benchmark/provenance.json	benchmark/runs/30strains_50x/30strains_50x_dadec_dev_fix_a_k31_k31_s1_a2_a1/output/short_50x/dadec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_50x/30strains_50x_dadec_dev_fix_a_k31_k31_s1_a2_a1/benchmark/short_50x/dadec/resources.time.txt	present	present
30s_ba	50x	FMLRC	30strains_50x_fmlrc_original_k21_k59	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/50x_fmlrc.yaml	benchmark/runs/30strains_50x/30strains_50x_fmlrc_original_k21_k59/benchmark/provenance.json	benchmark/runs/30strains_50x/30strains_50x_fmlrc_original_k21_k59/output/short_50x/fmlrc/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_50x/30strains_50x_fmlrc_original_k21_k59/benchmark/short_50x/fmlrc/resources.time.txt	present	present
30s_ba	50x	F_HERO	30strains_50x_f_hero_original_k21_k59_hs1_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/50x_f_hero.yaml	benchmark/runs/30strains_50x/30strains_50x_f_hero_original_k21_k59_hs1_hi1/benchmark/provenance.json	benchmark/runs/30strains_50x/30strains_50x_f_hero_original_k21_k59_hs1_hi1/output/short_50x/f_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_50x/30strains_50x_f_hero_original_k21_k59_hs1_hi1/benchmark/short_50x/f_hero/resources.time.txt	present	present
30s_ba	50x	Ratatosk	30strains_50x_ratatosk_original_k21_k31	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/50x_ratatosk.yaml	benchmark/runs/30strains_50x/30strains_50x_ratatosk_original_k21_k31/benchmark/provenance.json	benchmark/runs/30strains_50x/30strains_50x_ratatosk_original_k21_k31/output/short_50x/ratatosk/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_50x/30strains_50x_ratatosk_original_k21_k31/benchmark/short_50x/ratatosk/resources.time.txt	present	present
30s_ba	50x	R_HERO	30strains_50x_r_hero_original_k21_k31_hs1_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/50x_r_hero.yaml	benchmark/runs/30strains_50x/30strains_50x_r_hero_original_k21_k31_hs1_hi1/benchmark/provenance.json	benchmark/runs/30strains_50x/30strains_50x_r_hero_original_k21_k31_hs1_hi1/output/short_50x/r_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_50x/30strains_50x_r_hero_original_k21_k31_hs1_hi1/benchmark/short_50x/r_hero/resources.time.txt	present	present
30s_ba	50x	LoRDEC	30strains_50x_lordec_original_k31_ls5	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/50x_lordec.yaml	benchmark/runs/30strains_50x/30strains_50x_lordec_original_k31_ls5/benchmark/provenance.json	benchmark/runs/30strains_50x/30strains_50x_lordec_original_k31_ls5/output/short_50x/lordec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_50x/30strains_50x_lordec_original_k31_ls5/benchmark/short_50x/lordec/resources.time.txt	present	present
30s_ba	50x	L_HERO	30strains_50x_l_hero_original_k31_ls5_hs1_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/50x_l_hero.yaml	benchmark/runs/30strains_50x/30strains_50x_l_hero_original_k31_ls5_hs1_hi1/benchmark/provenance.json	benchmark/runs/30strains_50x/30strains_50x_l_hero_original_k31_ls5_hs1_hi1/output/short_50x/l_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_50x/30strains_50x_l_hero_original_k31_ls5_hs1_hi1/benchmark/short_50x/l_hero/resources.time.txt	present	present
30s_ba	50x	CoLoRMap	30strains_50x_colormap_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/50x_colormap.yaml	benchmark/runs/30strains_50x/30strains_50x_colormap_original/benchmark/provenance.json	benchmark/runs/30strains_50x/30strains_50x_colormap_original/output/short_50x/colormap/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_50x/30strains_50x_colormap_original/benchmark/short_50x/colormap/resources.time.txt	present	present
30s_ba	50x	Proovread	30strains_50x_proovread_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/50x_proovread.yaml	benchmark/runs/30strains_50x/30strains_50x_proovread_original/benchmark/provenance.json	benchmark/runs/30strains_50x/30strains_50x_proovread_original/output/short_50x/proovread/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_50x/30strains_50x_proovread_original/benchmark/short_50x/proovread/resources.time.txt	present	present
